Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
366747,Minor injury,2016,July,Tuesday,13,Angle,Multi-Vehicle,152.034574049514,-28.2185753533268,Albion St,Percy St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,0,0,2,2,1,0,0,1,0,0,0
366748,Medical treatment,2016,July,Friday,18,Angle,Multi-Vehicle,152.035701050149,-28.2123853533874,Albert St,Albion St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,0 - 50 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,202.0,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,E,0,0,1,0,1,2,0,0,0,0,0,0
366749,Medical treatment,2016,August,Tuesday,10,Angle,Multi-Vehicle,152.022922051024,-28.2169053521896,Gore St,Percy St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,E,0,0,1,0,1,2,0,0,0,0,0,0
366750,Medical treatment,2016,August,Monday,10,Hit pedestrian,Hit pedestrian,152.031999873106,-28.2161009980592,Grafton St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,7.0,Ped'N: Hit By Vehicle Enter/Leave D'Way,Pedestrian,S,0,0,1,0,1,1,0,0,0,0,0,1
366751,Minor injury,2016,September,Thursday,18,Angle,Multi-Vehicle,152.026315052122,-28.2048823524233,Glennie St,Marshall St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,0,0,2,2,2,0,0,0,0,0,0
366752,Medical treatment,2016,September,Friday,6,Angle,Multi-Vehicle,152.029525049899,-28.220035352851,Guy St,Wood St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,W,0,0,1,0,1,2,0,0,0,0,0,0
366753,Medical treatment,2016,September,Wednesday,16,Angle,Multi-Vehicle,152.018601050197,-28.2275653518559,Cleary St,Wallace St,New England Highway (Warwick - Wallangarra),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,0,1,0,1,2,0,0,0,0,0,0
366754,Medical treatment,2016,October,Saturday,19,Hit object,Single Vehicle,152.021270049855,-28.2279193521161,Cleary St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Straight,Level,5.0,Ped'N: Hit Walking With Traffic,Pedestrian,E,0,0,1,0,1,1,0,0,0,0,1,0
366755,Minor injury,2016,November,Monday,9,Angle,Multi-Vehicle,152.03251004997,-28.2167393531134,Palmerin St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,401.0,Veh'S Manoeuvring: Leaving Parking,Vehicle leaving driveway,N,0,0,0,1,1,2,0,0,0,0,0,0
366756,Medical treatment,2016,November,Tuesday,9,Angle,Multi-Vehicle,152.025634050931,-28.2151853524379,Grafton St,Wantley St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,N,0,0,1,0,1,2,0,0,0,0,0,0
366757,Medical treatment,2016,November,Thursday,15,Angle,Multi-Vehicle,152.032726050118,-28.2153403531233,Palmerin St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,401.0,Veh'S Manoeuvring: Leaving Parking,Vehicle leaving driveway,N,0,0,1,0,1,2,0,0,0,0,0,0
366758,Minor injury,2016,December,Tuesday,19,Hit pedestrian,Hit pedestrian,152.031119015794,-28.2113117769368,Guy St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,4.0,Ped'N: Play; Work; Stand; Lie On C'Way,Pedestrian,N,0,0,0,1,1,1,0,0,0,0,1,0
366759,Medical treatment,2016,December,Tuesday,12,Hit object,Single Vehicle,152.035295049904,-28.2147483533666,Albion St,Unknown,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,708.0,Off Path-Straight: Mounts Traffic Island,Off carriageway on straight hit object,S,0,0,1,0,1,1,0,0,0,0,0,0
366760,Medical treatment,2016,December,Tuesday,13,Angle,Multi-Vehicle,152.035322049936,-28.2144593533669,Albion St,Fitzroy St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202.0,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,S,0,0,2,0,2,2,0,0,0,0,0,0
366761,Medical treatment,2017,January,Wednesday,12,Hit parked vehicle,Single Vehicle,152.02970004995,-28.2194633528634,Guy St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,403.0,Veh'S Manoeuvring: Parking Veh'S Only,Other,N,0,0,1,0,1,2,0,0,0,0,0,0
366762,Fatal,2017,February,Sunday,19,Hit pedestrian,Hit pedestrian,152.024873050512,-28.2192903523964,Wantley St,Wood St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,3.0,Ped'N: Far Side Vehicle Hit From Left,Pedestrian,W,1,0,0,0,1,1,0,0,0,0,1,0
366763,Hospitalisation,2017,March,Saturday,13,Angle,Multi-Vehicle,152.021566052244,-28.2082143519911,Rosehill Rd,Victoria St,Warwick - Allora Road,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,E,0,1,0,0,1,2,0,0,0,0,0,0
366764,Medical treatment,2017,March,Sunday,20,Angle,Multi-Vehicle,152.018601050197,-28.2275653518559,Cleary St,Wallace St,New England Highway (Warwick - Wallangarra),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,W,0,0,1,0,1,2,0,0,0,0,0,0
366765,Hospitalisation,2017,March,Friday,22,Angle,Multi-Vehicle,152.021566052244,-28.2082143519911,Rosehill Rd,Victoria St,Warwick - Allora Road,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,1,0,0,1,2,0,0,0,0,0,0
366766,Medical treatment,2017,March,Monday,17,Angle,Multi-Vehicle,152.029989052002,-28.2025103527592,Horsman Rd,Weewondilla Rd,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,W,0,0,1,0,1,3,0,0,0,0,0,0
366767,Hospitalisation,2017,April,Wednesday,19,Hit object,Single Vehicle,152.018059049884,-28.2306073518274,Law Rd,Wallace St,New England Highway (Warwick - Wallangarra),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - T-Junction,Give way sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Grade,700.0,Off Path-Straight: Other,Other,N,0,1,0,0,1,1,0,0,0,0,0,0
366768,Medical treatment,2017,April,Wednesday,10,Rear-end,Multi-Vehicle,152.036910049727,-28.2147123535222,Fitzroy St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,303.0,Veh'S Same Direction: Right Rear,Rear-end,W,0,0,1,0,1,3,0,0,0,0,0,0
366769,Minor injury,2017,May,Thursday,10,Rear-end,Multi-Vehicle,152.033466050517,-28.2114253531642,Palmerin St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,N,0,0,0,1,1,3,0,0,0,0,0,0
366770,Medical treatment,2017,June,Wednesday,15,Angle,Multi-Vehicle,152.028717051054,-28.2113833527057,Albert St,Dragon St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,E,0,0,1,0,1,2,0,0,0,0,0,0
366771,Hospitalisation,2017,August,Wednesday,9,Hit parked vehicle,Single Vehicle,152.026120052502,-28.2019633523817,Horsman Rd,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,601.0,Veh'S On Path: Parked,Hit parked vehicle,W,0,1,0,0,1,2,0,0,0,0,0,0
366772,Hospitalisation,2017,August,Wednesday,17,Angle,Multi-Vehicle,152.008164052415,-28.2190343507832,Pratten St,Tooth St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Dip,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,E,0,1,0,0,1,2,0,0,0,0,0,0
366773,Medical treatment,2017,August,Tuesday,15,Angle,Multi-Vehicle,152.036832048957,-28.221046353564,Canning St,Wood St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,0,2,0,2,2,0,0,0,0,0,0
366774,Minor injury,2017,September,Sunday,16,Angle,Multi-Vehicle,152.031040050753,-28.2117143529324,Albert St,Guy St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,W,0,0,0,1,1,2,0,0,0,0,0,0
366775,Medical treatment,2017,October,Saturday,13,Rear-end,Multi-Vehicle,152.020210051108,-28.218687351942,Wallace St,Wood St,Cunningham Highway (Warwick - Inglewood),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,0,1,0,1,2,0,0,0,0,0,0
366776,Hospitalisation,2017,October,Thursday,16,Hit object,Single Vehicle,152.009317591866,-28.1898836916673,Warwick - Allora Rd,Unknown,Warwick - Allora Road,Rosehill,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Bridge/Causeway,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,S,0,1,0,0,1,1,0,0,0,0,0,0
366777,Minor injury,2017,November,Thursday,0,Rear-end,Multi-Vehicle,152.027207050209,-28.2196253526242,Dragon St,Wood St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,307.0,Veh'S Same Direction: Lane Change Left,Lane changes,W,0,0,0,1,1,1,0,1,0,0,0,0
366778,Hospitalisation,2017,November,Saturday,22,Head-on,Multi-Vehicle,152.035279050468,-28.2101703533294,Victoria St,Unknown,Warwick - Allora Road,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Wet,Clear,Darkness - Lighted,Straight,Level,201.0,Veh'S Opposite Approach: Head On,Head-on,W,0,2,0,0,2,2,0,0,0,0,0,0
366779,Hospitalisation,2017,November,Thursday,1,Hit object,Single Vehicle,152.050162046173,-28.2315353549325,Canningvale Rd,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,703.0,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,W,0,1,0,0,1,1,0,0,0,0,0,0
366780,Hospitalisation,2017,December,Friday,16,Angle,Multi-Vehicle,152.036072050359,-28.2103393534072,Albion St,Victoria St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,W,0,1,0,0,1,2,0,0,0,0,0,0
366781,Medical treatment,2017,December,Wednesday,13,Angle,Multi-Vehicle,152.019275050584,-28.2238013518916,Locke St,Wallace St,New England Highway (Warwick - Wallangarra),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,E,0,0,1,0,1,2,0,0,0,0,0,0
366782,Medical treatment,2017,December,Sunday,14,Angle,Multi-Vehicle,152.029989052002,-28.2025103527592,Horsman Rd,Weewondilla Rd,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Wet,Raining,Darkness - Lighted,Straight,Dip,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,E,0,0,2,0,2,2,0,0,0,0,0,0
366783,Medical treatment,2018,January,Thursday,13,Angle,Multi-Vehicle,152.018601050197,-28.2275653518559,Cleary St,Wallace St,New England Highway (Warwick - Wallangarra),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,No traffic control,60 km/h,Unsealed - Dry,Clear,Daylight,Straight,Grade,202.0,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,N,0,0,1,0,1,2,0,0,0,0,0,0
366784,Hospitalisation,2018,January,Monday,15,Angle,Multi-Vehicle,152.036072050359,-28.2103393534072,Albion St,Victoria St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202.0,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,S,0,4,0,0,4,2,0,0,0,0,0,0
366785,Medical treatment,2018,February,Thursday,15,Angle,Multi-Vehicle,152.031869049605,-28.2202913530792,Palmerin St,Wood St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,202.0,Veh'S Opposite Approach: Thru-Right,Opposing vehicles turning,W,0,0,2,0,2,2,0,0,0,0,0,0
366786,Hospitalisation,2018,March,Wednesday,18,Hit object,Single Vehicle,152.034377049294,-28.2205363533231,Albion St,Wood St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Operating traffic lights,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,703.0,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,E,0,1,0,0,1,2,0,0,0,0,0,0
366787,Hospitalisation,2018,March,Thursday,7,Angle,Multi-Vehicle,152.054195047739,-28.2151493551944,Rangers Rd,Ruston St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,408.0,Veh'S Manoeuvring: Entering From Footway,Vehicle leaving driveway,S,0,1,0,0,1,1,0,1,0,0,0,0
366788,Hospitalisation,2018,April,Monday,13,Angle,Multi-Vehicle,152.049268050027,-28.2010293546085,East St,Freestone Rd,Freestone Road,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,W,0,1,0,2,3,3,0,0,0,0,0,0
366789,Minor injury,2018,May,Saturday,13,Hit pedestrian,Hit pedestrian,152.032481452952,-28.2169129461119,Palmerin St,Unknown,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,0.0,Ped'N: Hit Other,Other,N,0,0,0,1,1,1,0,0,0,0,1,0
366790,Hospitalisation,2018,May,Wednesday,14,Angle,Multi-Vehicle,152.027207050209,-28.2196253526242,Dragon St,Wood St,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,S,0,1,0,0,1,2,0,0,0,0,0,0
366791,Hospitalisation,2018,May,Thursday,15,Angle,Multi-Vehicle,152.028717051054,-28.2113833527057,Albert St,Dragon St,,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,W,0,1,0,0,1,3,0,0,0,0,0,0
366792,Minor injury,2018,July,Wednesday,13,Angle,Multi-Vehicle,152.034574049514,-28.2185753533268,Albion St,Percy St,Warwick - Killarney Road,Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - Cross,Stop sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,101.0,Veh'S Adjacent Approach: Thru-Thru,Intersection from adjacent approaches,N,0,0,0,1,1,2,0,0,0,0,0,0
366793,Hospitalisation,2018,July,Monday,19,Hit pedestrian,Hit pedestrian,152.023957050635,-28.2191203523067,Wood St,Unknown,Cunningham Highway (Ipswich - Warwick),Warwick,Southern Downs Region,4370,Warwick,Darling Downs,Southern,Southern,Southern Queensland,Warwick,Granite Belt,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,3.0,Ped'N: Far Side Vehicle Hit From Left,Pedestrian,E,0,1,0,0,1,1,0,0,0,0,1,0
